                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1874,                 3.3276,                  1.552,                0.00108,                0.39845,                0.00128,                0.00033,                 2.7821,                    inf,                 28.617,             0.00036384,             0.00036384,             0.00036384
                      2,                 1.5811,                 2.8425,                 1.7748,                 0.2002,                0.00256,                  2e-05,                  2e-05,                 3.0307,                 67.416,                 8.9493,             0.00073272,             0.00073272,             0.00073272
                      3,                 1.7284,                 2.9541,                  1.876,                0.40412,                0.01864,                 0.0012,                 0.0005,                 3.0967,                 241.18,                  4.089,              0.0011001,              0.0011001,              0.0011001
                      4,                 1.6943,                   2.77,                 1.8509,                0.25721,                0.03878,                0.01868,                0.01002,                 2.7551,                 16.687,                 3.8407,              0.0011044,              0.0011044,              0.0011044
                      5,                 1.5887,                 2.6588,                 1.7689,                0.44533,                0.18538,                0.05468,                0.02794,                 1.8066,                 10.653,                 2.2645,              0.0011044,              0.0011044,              0.0011044
                      6,                 1.5356,                 2.5272,                 1.7269,                0.50608,                0.13346,                0.08206,                 0.0478,                 1.3068,                 7.0489,                 1.7467,              0.0011022,              0.0011022,              0.0011022
                      7,                 1.4658,                 2.4053,                  1.658,                0.29345,                0.25526,                0.13197,                0.08289,                 1.3724,                  3.005,                 1.7082,                 0.0011,                 0.0011,                 0.0011
                      8,                 1.4509,                 2.3363,                 1.6239,                0.59211,                0.17775,                 0.1213,                0.06848,                 1.4826,                 4.2487,                 1.8405,              0.0010978,              0.0010978,              0.0010978
                      9,                 1.3853,                 2.2481,                 1.5974,                0.36912,                0.31436,                0.18891,                0.12092,                 1.2939,                  2.642,                 1.6932,              0.0010956,              0.0010956,              0.0010956
                     10,                  1.363,                 2.1246,                 1.5431,                 0.6032,                0.25841,                0.20011,                0.12713,                 1.2704,                 3.3653,                 1.6807,              0.0010934,              0.0010934,              0.0010934
