                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0609,                 3.3896,                 1.4335,                0.41917,                0.34928,                0.22598,                 0.1407,                 1.2576,                 8.4757,                 1.7415,             0.00036384,             0.00036384,             0.00036384
                      2,                 1.2681,                 2.4082,                 1.5476,                0.00542,                0.27983,                0.00429,                0.00129,                 2.2858,                 115.09,                 3.6425,             0.00073272,             0.00073272,             0.00073272
                      3,                 1.5197,                 2.6341,                  1.735,                0.00237,                0.06606,                0.00182,                0.00056,                 2.6138,                    inf,                 6.6709,              0.0011001,              0.0011001,              0.0011001
                      4,                  1.486,                 2.5492,                 1.6971,                0.50063,                0.12628,                 0.0885,                0.04538,                 1.5191,                 7.0117,                 2.1687,              0.0011044,              0.0011044,              0.0011044
                      5,                 1.4189,                 2.4264,                 1.6563,                0.46119,                0.12897,                0.04124,                0.01792,                 2.0844,                 10.004,                 2.9034,              0.0011044,              0.0011044,              0.0011044
                      6,                 1.4046,                 2.2746,                 1.6204,                0.36515,                0.12823,                0.10776,                0.06486,                 1.7944,                 5.1303,                 2.1096,              0.0011022,              0.0011022,              0.0011022
                      7,                 1.3842,                 2.2217,                 1.5741,                0.59474,                0.25637,                0.19058,                0.11244,                 1.2666,                 3.8046,                 1.6227,                 0.0011,                 0.0011,                 0.0011
                      8,                 1.3549,                 2.1237,                 1.5633,                0.38974,                0.26154,                0.20241,                0.13219,                  1.222,                 3.9546,                 1.6041,              0.0010978,              0.0010978,              0.0010978
                      9,                  1.295,                 2.0353,                 1.5357,                0.43183,                0.26351,                   0.23,                0.14677,                 1.2064,                 2.3005,                 1.5693,              0.0010956,              0.0010956,              0.0010956
                     10,                 1.2771,                 1.9433,                 1.5026,                0.52265,                0.23931,                0.25749,                0.17741,                 1.1267,                 2.5644,                  1.507,              0.0010934,              0.0010934,              0.0010934
                     11,                 1.2181,                 1.9037,                 1.4337,                 0.4336,                0.28828,                0.27849,                0.19009,                 1.1116,                 2.9364,                 1.4734,              0.0010912,              0.0010912,              0.0010912
                     12,                 1.2155,                 1.8559,                 1.4531,                0.50419,                0.33965,                0.28749,                0.20085,                 1.2082,                 3.5065,                 1.6237,               0.001089,               0.001089,               0.001089
                     13,                 1.2201,                 1.8403,                  1.472,                0.49402,                0.37028,                 0.3543,                0.24642,                  1.061,                  2.114,                 1.4205,              0.0010868,              0.0010868,              0.0010868
                     14,                 1.1596,                 1.7526,                 1.4105,                0.50347,                 0.3436,                0.31741,                0.21963,                 1.1124,                 2.0621,                 1.5003,              0.0010846,              0.0010846,              0.0010846
                     15,                 1.1535,                 1.7259,                 1.3948,                0.43357,                0.30523,                0.28374,                0.18966,                 1.2258,                 2.0755,                 1.5878,              0.0010824,              0.0010824,              0.0010824
                     16,                 1.0962,                 1.6898,                 1.3875,                0.52161,                0.38069,                0.36362,                0.27122,                 0.9469,                 1.8465,                 1.3514,              0.0010802,              0.0010802,              0.0010802
                     17,                 1.1057,                 1.6442,                 1.3879,                 0.5952,                0.36536,                0.38437,                0.28376,                0.97304,                 1.9124,                 1.3544,               0.001078,               0.001078,               0.001078
                     18,                 1.1259,                 1.6224,                 1.3782,                0.58242,                0.42742,                0.38259,                0.26701,                 1.0977,                 2.8503,                 1.4802,              0.0010758,              0.0010758,              0.0010758
                     19,                 1.0832,                 1.6437,                 1.3816,                0.56648,                0.40341,                0.36892,                0.26749,                0.97964,                 2.2088,                  1.338,              0.0010736,              0.0010736,              0.0010736
                     20,                 1.0083,                  1.531,                 1.3007,                0.59362,                  0.496,                0.42756,                0.31468,                0.90122,                 2.1554,                 1.3168,              0.0010714,              0.0010714,              0.0010714
                     21,                  1.022,                 1.5337,                 1.3271,                0.66182,                0.37598,                0.37386,                0.27905,                0.93123,                 1.7824,                 1.3046,              0.0010692,              0.0010692,              0.0010692
                     22,                 1.0016,                 1.5213,                 1.2946,                0.74036,                0.36314,                0.44476,                0.32918,                0.93464,                 1.6316,                 1.3226,               0.001067,               0.001067,               0.001067
                     23,                0.99924,                 1.4811,                  1.304,                0.60467,                0.43302,                0.43546,                0.32485,                0.93956,                 2.1708,                 1.3052,              0.0010648,              0.0010648,              0.0010648
                     24,                 0.9962,                 1.4604,                 1.3265,                0.66672,                 0.4572,                0.50521,                0.37463,                  0.897,                 2.1884,                 1.3111,              0.0010626,              0.0010626,              0.0010626
                     25,                0.98355,                 1.4307,                 1.3095,                0.56422,                0.42724,                0.37801,                0.27552,                 1.0484,                 2.7159,                 1.4587,              0.0010604,              0.0010604,              0.0010604
                     26,                 1.0139,                 1.4491,                  1.319,                0.62145,                0.44269,                0.46878,                0.36061,                0.95553,                 1.9189,                 1.3594,              0.0010582,              0.0010582,              0.0010582
                     27,                0.93765,                 1.4241,                 1.2664,                0.67742,                0.41071,                0.47716,                0.34961,                0.90356,                 1.6417,                 1.2846,               0.001056,               0.001056,               0.001056
                     28,                0.96888,                 1.4191,                 1.2715,                0.58712,                0.48468,                0.44372,                0.32595,                0.86386,                 1.5202,                 1.2645,              0.0010538,              0.0010538,              0.0010538
                     29,                0.95655,                 1.4093,                 1.2627,                0.56576,                0.53313,                0.45196,                0.34244,                0.89685,                 1.8226,                 1.3069,              0.0010516,              0.0010516,              0.0010516
                     30,                0.97506,                 1.3783,                 1.2933,                0.68283,                0.46384,                0.44746,                0.32768,                0.97268,                 1.8221,                 1.3833,              0.0010494,              0.0010494,              0.0010494
                     31,                0.93448,                 1.3723,                 1.2579,                0.60945,                0.51344,                0.49821,                0.37822,                0.87719,                 1.5802,                 1.2671,              0.0010472,              0.0010472,              0.0010472
                     32,                 0.9244,                 1.3284,                   1.24,                0.57917,                0.54509,                 0.5167,                0.39113,                0.85369,                 1.6846,                 1.2264,               0.001045,               0.001045,               0.001045
                     33,                0.91918,                 1.3052,                 1.2562,                0.64929,                0.45212,                0.48708,                0.36702,                0.86265,                  1.541,                 1.2534,              0.0010428,              0.0010428,              0.0010428
                     34,                0.91812,                  1.331,                 1.2435,                0.56262,                0.51542,                0.47218,                0.36861,                0.80646,                 1.4302,                 1.1848,              0.0010406,              0.0010406,              0.0010406
                     35,                0.93505,                 1.3582,                 1.2699,                0.61495,                0.44227,                 0.4476,                0.33562,                0.93252,                 2.0196,                  1.338,              0.0010384,              0.0010384,              0.0010384
                     36,                0.94283,                 1.3214,                  1.277,                0.64338,                0.53767,                0.54537,                0.40077,                0.89326,                 1.6948,                 1.3189,              0.0010362,              0.0010362,              0.0010362
                     37,                0.92153,                 1.3229,                 1.2508,                 0.6839,                0.49582,                0.57197,                0.42663,                0.83359,                 1.4332,                 1.2485,               0.001034,               0.001034,               0.001034
                     38,                0.90718,                 1.2986,                 1.2463,                0.62129,                0.56725,                0.55091,                0.42908,                 0.7921,                 1.3341,                  1.193,              0.0010318,              0.0010318,              0.0010318
                     39,                0.86091,                 1.2237,                  1.204,                0.71534,                0.48723,                0.54683,                0.41934,                0.81372,                  1.308,                 1.1885,              0.0010296,              0.0010296,              0.0010296
                     40,                0.86605,                 1.2375,                 1.2146,                0.69276,                0.47321,                0.55491,                0.41594,                0.85379,                 1.6103,                 1.2667,              0.0010274,              0.0010274,              0.0010274
                     41,                 0.8847,                 1.2381,                  1.249,                 0.6774,                0.43559,                0.56935,                0.44349,                0.81184,                 1.5717,                 1.2049,              0.0010252,              0.0010252,              0.0010252
                     42,                0.89398,                 1.2779,                 1.2238,                0.66665,                0.52228,                0.48852,                0.36223,                0.91621,                 1.7441,                 1.3501,               0.001023,               0.001023,               0.001023
                     43,                0.86667,                 1.2165,                 1.2051,                0.68543,                0.48178,                 0.5803,                0.45116,                0.83905,                 1.5346,                 1.2176,              0.0010208,              0.0010208,              0.0010208
                     44,                 0.8521,                 1.2004,                 1.2048,                0.69087,                0.51897,                0.52701,                0.40556,                0.80463,                 1.3553,                 1.2104,              0.0010186,              0.0010186,              0.0010186
                     45,                0.86349,                 1.1907,                 1.2218,                0.68887,                0.47674,                0.51312,                0.40306,                0.81931,                 1.7604,                 1.2387,              0.0010164,              0.0010164,              0.0010164
                     46,                0.85002,                 1.1688,                 1.1996,                0.72753,                0.42889,                0.48211,                0.37591,                0.82697,                  1.719,                 1.2233,              0.0010142,              0.0010142,              0.0010142
                     47,                0.83071,                 1.1262,                 1.1903,                0.67956,                0.56888,                0.58917,                0.45557,                0.83916,                 1.3576,                  1.242,               0.001012,               0.001012,               0.001012
                     48,                0.84098,                 1.1686,                 1.1911,                0.70878,                0.41604,                0.52635,                0.40718,                0.78355,                 1.4111,                 1.1885,              0.0010098,              0.0010098,              0.0010098
                     49,                 0.8092,                 1.1131,                 1.1848,                0.79224,                0.45197,                 0.5054,                0.39886,                0.75391,                 1.7555,                 1.1636,              0.0010076,              0.0010076,              0.0010076
                     50,                0.85005,                 1.1474,                 1.2273,                0.68147,                 0.5408,                0.56163,                0.45087,                0.79856,                 1.5034,                 1.2208,              0.0010054,              0.0010054,              0.0010054
                     51,                0.79825,                  1.088,                 1.1438,                0.71113,                0.47819,                0.55522,                0.44014,                0.77193,                 1.4842,                 1.1933,              0.0010032,              0.0010032,              0.0010032
                     52,                0.79795,                 1.0836,                 1.1731,                0.74497,                 0.4855,                0.57815,                0.45199,                0.78245,                 1.3835,                   1.18,               0.001001,               0.001001,               0.001001
                     53,                0.80431,                 1.1188,                 1.1846,                0.70874,                 0.5049,                0.55182,                0.42283,                0.82666,                 1.3194,                 1.2049,             0.00099881,             0.00099881,             0.00099881
                     54,                0.79025,                 1.0706,                 1.1604,                0.69289,                0.42515,                0.51807,                0.40003,                0.83576,                    1.6,                 1.2443,             0.00099661,             0.00099661,             0.00099661
                     55,                0.79004,                 1.0165,                 1.1721,                0.68678,                0.49492,                0.53102,                0.41979,                0.79946,                 1.2461,                 1.2025,             0.00099441,             0.00099441,             0.00099441
                     56,                0.80337,                  1.069,                 1.1963,                0.66489,                0.49853,                0.50826,                0.40351,                0.77047,                 1.4427,                 1.1763,             0.00099221,             0.00099221,             0.00099221
                     57,                0.82238,                 1.0497,                 1.1908,                0.77242,                0.44122,                 0.5395,                0.42491,                0.74298,                 1.4021,                 1.1478,             0.00099001,             0.00099001,             0.00099001
                     58,                 0.7964,                 1.0556,                 1.1658,                0.77674,                0.41825,                0.52575,                0.40366,                0.81967,                 1.2599,                 1.1953,             0.00098781,             0.00098781,             0.00098781
                     59,                0.79038,                 1.0117,                 1.1665,                0.69597,                0.50128,                0.55884,                0.43562,                0.76069,                 1.5802,                 1.1458,             0.00098561,             0.00098561,             0.00098561
                     60,                0.77369,                 1.0111,                 1.1524,                 0.7984,                 0.4953,                0.60214,                0.48335,                 0.7574,                 1.1325,                 1.1819,             0.00098341,             0.00098341,             0.00098341
                     61,                0.80861,                 1.0315,                  1.186,                0.65592,                0.49714,                0.55799,                0.42629,                0.79568,                 1.4342,                 1.2511,             0.00098121,             0.00098121,             0.00098121
                     62,                 0.7575,                 1.0097,                 1.1614,                 0.6782,                0.42428,                0.47156,                0.37117,                0.83298,                 1.6424,                 1.2414,             0.00097901,             0.00097901,             0.00097901
                     63,                0.74834,                 1.0014,                 1.1413,                0.74223,                0.44692,                0.54317,                0.42135,                0.74386,                 1.5137,                 1.1473,             0.00097681,             0.00097681,             0.00097681
                     64,                0.75223,                0.96694,                  1.146,                0.44872,                0.48106,                0.50139,                0.39511,                0.77314,                 1.2554,                 1.1608,             0.00097461,             0.00097461,             0.00097461
                     65,                0.77581,                 1.0306,                 1.1519,                0.64851,                0.48577,                0.52885,                0.42431,                0.79408,                 1.4797,                 1.1989,             0.00097241,             0.00097241,             0.00097241
                     66,                0.75157,                0.97502,                 1.1364,                0.71064,                0.52163,                0.57493,                0.46888,                0.69824,                 1.4594,                 1.1217,             0.00097021,             0.00097021,             0.00097021
                     67,                0.75357,                0.97843,                 1.1388,                0.76647,                0.49611,                0.58712,                0.46449,                0.75116,                 1.2879,                 1.1328,             0.00096801,             0.00096801,             0.00096801
                     68,                0.75818,                 1.0116,                 1.1377,                0.72671,                 0.5092,                0.56207,                0.46391,                 0.7068,                  1.548,                  1.096,             0.00096581,             0.00096581,             0.00096581
                     69,                0.70679,                0.89389,                 1.1056,                0.74099,                0.50037,                0.56459,                0.45531,                0.70835,                 1.3587,                 1.1045,             0.00096361,             0.00096361,             0.00096361
                     70,                0.74937,                0.95875,                 1.1441,                0.69079,                0.50075,                0.52348,                0.42753,                0.69072,                 1.6009,                 1.0789,             0.00096141,             0.00096141,             0.00096141
                     71,                0.74875,                0.93971,                 1.1424,                0.72572,                0.47142,                0.59501,                0.45941,                0.76178,                 1.8009,                 1.1474,             0.00095922,             0.00095922,             0.00095922
                     72,                0.71707,                0.91904,                 1.1128,                0.44159,                0.65407,                0.54295,                0.43001,                0.78905,                 1.5727,                 1.1684,             0.00095702,             0.00095702,             0.00095702
