                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0577,                 3.4865,                 1.3766,                0.71196,                0.05121,                0.15432,                0.10061,                0.99748,                 5.1694,                 1.3534,             0.00036384,             0.00036384,             0.00036384
                      2,                 1.0707,                 2.8429,                 1.3489,                0.39334,                0.27671,                0.18803,                0.11724,                 1.1789,                  4.344,                  1.634,             0.00073272,             0.00073272,             0.00073272
                      3,                 1.1494,                 2.7398,                 1.4131,                0.55119,                 0.2199,                0.21423,                0.11584,                 1.2462,                 8.5636,                 1.8437,              0.0011001,              0.0011001,              0.0011001
                      4,                  1.196,                 2.5943,                 1.4489,                0.44662,                0.21634,                 0.2209,                0.13389,                 1.2509,                 6.7096,                 1.6898,              0.0011044,              0.0011044,              0.0011044
                      5,                 1.1652,                 2.3412,                 1.4247,                0.34649,                0.22104,                0.13001,                0.07114,                 1.3754,                 5.7403,                 1.8832,              0.0011044,              0.0011044,              0.0011044
                      6,                 1.1567,                 2.1831,                 1.4037,                0.41683,                0.41142,                 0.2345,                0.14505,                 1.0753,                 4.2352,                 1.5086,              0.0011022,              0.0011022,              0.0011022
                      7,                 1.1257,                 2.0433,                 1.3787,                0.48041,                0.25224,                 0.2566,                0.15838,                 1.1835,                 2.9187,                 1.6406,                 0.0011,                 0.0011,                 0.0011
                      8,                  1.141,                 1.9393,                 1.3912,                0.58746,                0.30255,                0.34092,                0.21896,                 1.0338,                 2.7725,                 1.4059,              0.0010978,              0.0010978,              0.0010978
                      9,                 1.0843,                 1.8531,                 1.3562,                0.54086,                0.39386,                0.33222,                0.21311,                 1.1267,                 2.5183,                 1.4534,              0.0010956,              0.0010956,              0.0010956
                     10,                 1.0555,                 1.7186,                 1.3167,                0.62359,                0.37204,                 0.4193,                 0.2911,                  1.064,                 2.1558,                 1.4555,              0.0010934,              0.0010934,              0.0010934
                     11,                 1.0763,                 1.7039,                 1.3119,                0.54335,                0.45155,                0.36695,                 0.2326,                 1.0872,                 2.5166,                 1.4544,              0.0010912,              0.0010912,              0.0010912
                     12,                 1.0598,                 1.6626,                 1.3451,                0.49584,                0.47069,                0.37371,                0.28218,                0.97272,                 2.1646,                   1.36,               0.001089,               0.001089,               0.001089
                     13,                 1.0699,                 1.6252,                 1.3391,                0.70801,                0.39013,                0.47059,                0.33094,                0.98325,                 1.8605,                 1.3481,              0.0010868,              0.0010868,              0.0010868
                     14,                0.97951,                 1.5526,                 1.2765,                0.64679,                0.43048,                0.45094,                0.31431,                0.96574,                 2.1309,                   1.33,              0.0010846,              0.0010846,              0.0010846
                     15,                0.99429,                 1.5322,                 1.2799,                0.57578,                0.47676,                0.40654,                0.28368,                 0.9421,                 1.9182,                 1.2838,              0.0010824,              0.0010824,              0.0010824
                     16,                0.98349,                 1.4738,                 1.2819,                0.65218,                0.41707,                0.45693,                0.34444,                0.89732,                 1.5854,                 1.2494,              0.0010802,              0.0010802,              0.0010802
                     17,                0.97872,                 1.4644,                  1.283,                0.64614,                0.42855,                 0.4645,                0.33949,                0.90068,                 1.4838,                 1.2446,               0.001078,               0.001078,               0.001078
                     18,                0.96848,                 1.4299,                 1.2582,                 0.6542,                0.41441,                 0.4554,                0.33591,                0.90769,                 2.6028,                 1.2782,              0.0010758,              0.0010758,              0.0010758
                     19,                0.93382,                 1.4142,                  1.247,                0.68146,                0.37476,                0.41404,                0.30473,                0.98918,                 2.1491,                 1.3096,              0.0010736,              0.0010736,              0.0010736
                     20,                 0.9351,                 1.3827,                 1.2371,                0.62595,                0.50685,                0.51325,                0.38234,                0.82133,                 2.0305,                 1.2227,              0.0010714,              0.0010714,              0.0010714
                     21,                0.94711,                  1.375,                 1.2537,                0.69119,                0.37871,                0.36533,                0.26252,                0.93298,                 2.7848,                 1.2863,              0.0010692,              0.0010692,              0.0010692
                     22,                0.91197,                  1.355,                 1.2193,                0.55542,                 0.4397,                 0.3772,                0.26402,                 1.0746,                 2.1504,                  1.456,               0.001067,               0.001067,               0.001067
                     23,                0.91901,                 1.3179,                 1.2345,                0.64147,                0.51952,                0.50372,                0.38292,                0.88574,                 1.5346,                 1.2621,              0.0010648,              0.0010648,              0.0010648
                     24,                0.93084,                 1.2826,                 1.2456,                0.72298,                0.44939,                0.53372,                0.41837,                0.81617,                 1.6929,                  1.219,              0.0010626,              0.0010626,              0.0010626
                     25,                0.87627,                 1.2332,                 1.2151,                 0.6389,                0.52223,                0.51461,                0.38405,                0.90846,                 1.9723,                  1.262,              0.0010604,              0.0010604,              0.0010604
                     26,                0.94645,                   1.29,                 1.2464,                 0.7064,                0.53475,                0.52721,                0.40301,                0.85613,                 1.4735,                 1.2341,              0.0010582,              0.0010582,              0.0010582
                     27,                0.88746,                  1.236,                 1.2103,                0.71121,                0.49676,                0.52585,                0.39414,                0.90039,                 1.5801,                 1.2879,               0.001056,               0.001056,               0.001056
                     28,                0.89489,                 1.2148,                 1.2067,                0.71851,                0.47819,                0.53463,                0.38772,                0.95432,                  1.377,                 1.3067,              0.0010538,              0.0010538,              0.0010538
                     29,                0.87861,                 1.2216,                 1.1938,                0.75027,                0.49268,                0.50853,                0.35944,                0.88962,                 1.9597,                 1.2661,              0.0010516,              0.0010516,              0.0010516
                     30,                0.87835,                 1.1988,                 1.2167,                0.65529,                0.49025,                0.52616,                0.40604,                0.81025,                 1.2483,                 1.1795,              0.0010494,              0.0010494,              0.0010494
                     31,                0.88052,                 1.1657,                 1.2007,                0.63862,                0.56099,                0.56714,                0.41767,                0.87249,                 1.7804,                 1.2418,              0.0010472,              0.0010472,              0.0010472
                     32,                0.85602,                 1.1396,                 1.1914,                0.78724,                0.53879,                0.58949,                0.44852,                0.80483,                 1.4687,                 1.1798,               0.001045,               0.001045,               0.001045
                     33,                0.85561,                 1.1442,                  1.189,                0.66341,                0.46135,                0.51308,                0.35691,                0.87438,                 1.4928,                 1.2516,              0.0010428,              0.0010428,              0.0010428
                     34,                0.86241,                 1.1581,                 1.1942,                0.63104,                0.54156,                0.51848,                0.39276,                0.83091,                  2.188,                 1.2016,              0.0010406,              0.0010406,              0.0010406
                     35,                0.87961,                 1.1416,                 1.2083,                0.71103,                0.50684,                0.53568,                 0.4041,                0.85116,                 1.3743,                 1.1909,              0.0010384,              0.0010384,              0.0010384
                     36,                0.81941,                 1.1285,                 1.1845,                0.72376,                0.47916,                0.53566,                0.39539,                0.84096,                 1.5442,                  1.231,              0.0010362,              0.0010362,              0.0010362
                     37,                0.82566,                 1.1223,                 1.1711,                0.68965,                0.48535,                0.53297,                0.41331,                 0.8114,                 1.4655,                 1.1815,               0.001034,               0.001034,               0.001034
                     38,                 0.8318,                 1.1034,                 1.1749,                 0.5946,                0.56599,                0.52098,                0.39315,                 0.8447,                 2.0936,                 1.2233,              0.0010318,              0.0010318,              0.0010318
                     39,                0.79533,                 1.0001,                 1.1435,                0.70932,                0.51099,                0.57951,                0.43523,                0.77506,                 1.3817,                 1.1447,              0.0010296,              0.0010296,              0.0010296
                     40,                0.81868,                 1.0739,                 1.1651,                0.73692,                0.51322,                0.57109,                0.45461,                0.76437,                 1.4329,                 1.1174,              0.0010274,              0.0010274,              0.0010274
                     41,                0.80399,                  1.054,                 1.1827,                0.67178,                0.48063,                0.54234,                0.44174,                0.72651,                 1.5551,                 1.0928,              0.0010252,              0.0010252,              0.0010252
                     42,                0.83744,                 1.0849,                 1.1776,                0.66517,                0.53618,                 0.5264,                0.38538,                0.83268,                 1.4783,                 1.1842,               0.001023,               0.001023,               0.001023
                     43,                0.82903,                 1.0713,                 1.1654,                0.62125,                0.58443,                0.54615,                0.42795,                0.79165,                 1.7192,                 1.1457,              0.0010208,              0.0010208,              0.0010208
                     44,                 0.7748,                 1.0452,                  1.139,                0.70581,                0.46106,                0.54462,                0.40919,                0.76367,                 1.3771,                 1.1456,              0.0010186,              0.0010186,              0.0010186
                     45,                0.80319,                 1.0442,                 1.1702,                0.72576,                0.47674,                0.53984,                0.40605,                0.74493,                  1.852,                 1.1334,              0.0010164,              0.0010164,              0.0010164
                     46,                0.78055,                0.98274,                 1.1441,                 0.7197,                0.45387,                0.49694,                0.39179,                0.80207,                 1.7681,                 1.2054,              0.0010142,              0.0010142,              0.0010142
                     47,                0.79725,                0.96458,                 1.1545,                0.77755,                0.51878,                0.58198,                0.43295,                0.79236,                 1.4487,                 1.1953,               0.001012,               0.001012,               0.001012
                     48,                0.77366,                0.98723,                 1.1193,                0.75475,                0.46419,                0.55095,                0.42643,                0.77974,                 1.6849,                 1.1734,              0.0010098,              0.0010098,              0.0010098
                     49,                0.76011,                0.94719,                 1.1224,                0.67038,                0.48359,                 0.5042,                0.38461,                0.81615,                 2.1827,                 1.2143,              0.0010076,              0.0010076,              0.0010076
                     50,                0.77723,                0.96695,                 1.1508,                0.74471,                0.52436,                0.57691,                0.44195,                0.84869,                 1.3472,                 1.2831,              0.0010054,              0.0010054,              0.0010054
                     51,                0.75802,                0.93425,                  1.109,                0.46991,                 0.6303,                0.56078,                0.43848,                0.76935,                 1.6188,                 1.1635,              0.0010032,              0.0010032,              0.0010032
                     52,                0.75429,                0.91318,                 1.1268,                0.70929,                0.53186,                  0.541,                0.41185,                0.76377,                 1.3341,                 1.1214,               0.001001,               0.001001,               0.001001
                     53,                0.76007,                0.95914,                 1.1348,                0.71582,                0.51554,                0.56569,                0.43499,                0.79662,                 1.1809,                 1.1547,             0.00099881,             0.00099881,             0.00099881
                     54,                0.72302,                0.96587,                 1.1038,                0.66578,                0.51476,                0.53262,                0.42839,                0.77619,                 1.9371,                 1.1679,             0.00099661,             0.00099661,             0.00099661
                     55,                0.71961,                 0.8686,                 1.1175,                0.45634,                0.61131,                0.57422,                0.45605,                0.71603,                 1.2833,                  1.092,             0.00099441,             0.00099441,             0.00099441
                     56,                0.75285,                0.93801,                 1.1348,                0.40741,                0.57783,                0.51181,                0.39253,                 0.7792,                 1.3656,                 1.1635,             0.00099221,             0.00099221,             0.00099221
                     57,                0.76758,                 0.9294,                 1.1362,                 0.5623,                0.47462,                0.57617,                0.45475,                0.76347,                 1.3719,                   1.15,             0.00099001,             0.00099001,             0.00099001
                     58,                 0.7468,                0.90436,                 1.1121,                  0.552,                0.67163,                0.64193,                0.50257,                0.73489,                  1.385,                 1.0893,             0.00098781,             0.00098781,             0.00098781
                     59,                 0.7521,                0.89081,                 1.1282,                 0.6497,                0.55266,                0.52056,                0.39915,                0.79277,                 1.8416,                 1.1848,             0.00098561,             0.00098561,             0.00098561
                     60,                0.73569,                0.89474,                 1.0999,                0.60302,                0.57816,                 0.5153,                 0.4136,                0.73416,                 1.6938,                 1.1129,             0.00098341,             0.00098341,             0.00098341
                     61,                0.74979,                0.88445,                  1.127,                0.78171,                0.51237,                 0.5714,                0.44519,                0.76076,                 1.4567,                 1.1054,             0.00098121,             0.00098121,             0.00098121
                     62,                0.72768,                0.83296,                 1.1145,                0.67791,                0.47886,                0.54189,                0.41865,                0.80704,                  1.909,                 1.1947,             0.00097901,             0.00097901,             0.00097901
                     63,                0.71528,                 0.8334,                 1.1039,                 0.5291,                0.50015,                0.56394,                0.44064,                0.77086,                  1.473,                 1.1661,             0.00097681,             0.00097681,             0.00097681
                     64,                0.73519,                0.81685,                 1.1112,                 0.7684,                 0.4675,                0.55227,                0.40268,                0.83412,                 1.3078,                 1.2043,             0.00097461,             0.00097461,             0.00097461
                     65,                0.74163,                0.87391,                 1.1129,                0.49305,                0.50462,                0.54389,                 0.4242,                0.76581,                 1.8254,                 1.1426,             0.00097241,             0.00097241,             0.00097241
                     66,                0.71153,                0.82143,                  1.093,                0.46521,                0.64793,                0.55309,                0.43876,                0.76635,                 2.3727,                 1.1836,             0.00097021,             0.00097021,             0.00097021
                     67,                 0.7123,                0.83552,                 1.0861,                 0.6919,                0.49978,                 0.5429,                0.41297,                0.78398,                 1.6113,                 1.1835,             0.00096801,             0.00096801,             0.00096801
                     68,                0.73724,                 0.8501,                 1.1098,                0.47872,                0.60865,                0.56304,                0.43185,                0.71604,                 2.0353,                  1.097,             0.00096581,             0.00096581,             0.00096581
                     69,                0.67868,                0.78745,                 1.0728,                 0.6915,                0.47057,                0.51827,                0.40381,                0.75338,                 1.5323,                 1.1416,             0.00096361,             0.00096361,             0.00096361
                     70,                0.69897,                0.82047,                 1.0964,                0.69044,                0.55135,                0.56772,                0.45019,                0.70318,                 1.5107,                 1.0916,             0.00096141,             0.00096141,             0.00096141
                     71,                0.71211,                0.82679,                 1.1053,                0.80191,                0.48429,                0.58806,                0.45939,                0.78614,                 1.3177,                 1.1702,             0.00095922,             0.00095922,             0.00095922
                     72,                0.70632,                0.80696,                 1.0821,                0.60531,                0.56923,                0.59232,                 0.4391,                 0.7834,                 1.8111,                 1.1633,             0.00095702,             0.00095702,             0.00095702
                     73,                0.70816,                0.80922,                 1.1044,                0.49997,                0.49397,                0.55296,                0.43962,                  0.738,                      2,                 1.1392,             0.00095482,             0.00095482,             0.00095482
                     74,                0.71028,                0.80715,                 1.0973,                0.45447,                0.55816,                0.53512,                0.41851,                0.77102,                 1.5503,                 1.1801,             0.00095262,             0.00095262,             0.00095262
                     75,                0.71971,                0.79151,                 1.1052,                0.49286,                0.75233,                0.65151,                0.49519,                0.76732,                 1.5007,                 1.1576,             0.00095042,             0.00095042,             0.00095042
                     76,                0.68262,                0.75701,                 1.0804,                0.76659,                0.48823,                 0.5894,                0.45795,                0.75905,                 1.5112,                  1.159,             0.00094822,             0.00094822,             0.00094822
                     77,                0.67536,                0.78713,                 1.0873,                0.52127,                 0.6031,                0.55383,                0.44002,                0.71783,                 1.9608,                 1.1276,             0.00094602,             0.00094602,             0.00094602
                     78,                0.68781,                0.78555,                 1.0701,                 0.5691,                0.49096,                0.60438,                0.47843,                0.73873,                 1.0985,                 1.1344,             0.00094382,             0.00094382,             0.00094382
                     79,                0.68738,                 0.7502,                 1.0881,                  0.715,                0.49317,                0.55694,                0.43473,                0.78551,                 1.6124,                 1.1806,             0.00094162,             0.00094162,             0.00094162
                     80,                0.71129,                0.76214,                 1.0928,                0.53939,                0.52784,                0.58253,                0.47105,                0.76011,                 1.2703,                 1.1676,             0.00093942,             0.00093942,             0.00093942
                     81,                0.67465,                0.73237,                 1.0801,                0.46261,                0.59746,                0.56408,                  0.444,                 0.7912,                 1.4647,                 1.1692,             0.00093722,             0.00093722,             0.00093722
                     82,                0.69916,                0.77456,                 1.1018,                0.75817,                 0.4262,                0.51419,                0.41073,                0.76621,                 1.4593,                 1.1795,             0.00093502,             0.00093502,             0.00093502
                     83,                 0.6929,                0.80873,                 1.0892,                0.71942,                0.55946,                0.55812,                0.44412,                0.76243,                  1.673,                  1.166,             0.00093282,             0.00093282,             0.00093282
                     84,                0.68967,                0.76388,                  1.092,                0.54122,                0.65397,                 0.5967,                0.48296,                 0.7009,                 1.1319,                 1.0965,             0.00093062,             0.00093062,             0.00093062
                     85,                0.65987,                0.74456,                 1.0793,                0.55133,                0.56257,                0.54542,                0.42816,                0.73996,                 1.4308,                 1.1452,             0.00092842,             0.00092842,             0.00092842
                     86,                0.70293,                0.76031,                 1.0994,                0.59712,                0.57587,                0.57145,                0.45106,                0.74624,                 1.5817,                 1.1242,             0.00092622,             0.00092622,             0.00092622
                     87,                0.65763,                0.75909,                 1.0753,                0.43419,                0.67329,                0.54401,                0.43484,                0.74305,                 1.6123,                 1.1194,             0.00092402,             0.00092402,             0.00092402
                     88,                0.65669,                0.75647,                 1.0713,                0.55349,                0.59541,                0.59552,                0.47162,                0.71268,                 1.0845,                 1.0916,             0.00092182,             0.00092182,             0.00092182
                     89,                0.64689,                0.72099,                 1.0544,                 0.4482,                0.58147,                 0.5498,                0.44719,                0.70718,                 2.0415,                 1.0886,             0.00091962,             0.00091962,             0.00091962
                     90,                0.66143,                0.72237,                 1.0652,                0.74858,                 0.5033,                 0.5905,                 0.4532,                0.75311,                 1.8593,                 1.1311,             0.00091742,             0.00091742,             0.00091742
                     91,                 0.6839,                0.75078,                 1.0802,                0.52817,                 0.4919,                0.54224,                 0.4278,                0.74398,                 1.5291,                 1.1534,             0.00091522,             0.00091522,             0.00091522
                     92,                0.65425,                0.71155,                  1.056,                0.54908,                0.50974,                0.57844,                0.45653,                0.73769,                 1.2809,                 1.1375,             0.00091302,             0.00091302,             0.00091302
                     93,                0.64163,                0.71724,                 1.0678,                0.76464,                0.58732,                0.59056,                0.47758,                0.71408,                 1.2368,                  1.122,             0.00091082,             0.00091082,             0.00091082
                     94,                0.65134,                0.71623,                 1.0628,                0.45008,                0.58105,                0.55493,                0.44918,                0.73718,                 1.8161,                 1.1065,             0.00090862,             0.00090862,             0.00090862
