                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0969,                 3.5675,                 1.4252,                0.41523,                0.32758,                 0.1952,                0.11644,                0.98298,                 5.0678,                 1.4509,             0.00036384,             0.00036384,             0.00036384
                      2,                 1.1187,                 2.2457,                 1.4104,                0.49813,                0.35734,                0.21617,                0.13543,                 1.2036,                 13.446,                  1.752,             0.00073272,             0.00073272,             0.00073272
                      3,                 1.2453,                 2.1932,                 1.4841,                0.28848,                0.34027,                0.09609,                0.05051,                 1.7875,                  8.059,                  2.255,              0.0011001,              0.0011001,              0.0011001
                      4,                 1.3448,                 2.1406,                 1.5522,                 0.3978,                0.25796,                 0.1762,                0.09444,                 1.3234,                 5.1791,                 1.7466,              0.0011044,              0.0011044,              0.0011044
                      5,                  1.244,                 1.9982,                 1.4813,                0.40576,                0.22248,                0.16063,                0.08066,                 1.4774,                  3.011,                 1.9462,              0.0011044,              0.0011044,              0.0011044
                      6,                 1.2762,                  1.981,                 1.4873,                 0.5585,                0.11962,                0.11818,                0.05756,                 1.6408,                 4.3449,                 2.0493,              0.0011022,              0.0011022,              0.0011022
                      7,                 1.2048,                 1.9157,                 1.4188,                0.42617,                0.24522,                0.24202,                0.15925,                 1.3109,                 2.5264,                 1.6058,                 0.0011,                 0.0011,                 0.0011
                      8,                  1.232,                 1.8031,                 1.4455,                0.55891,                0.39313,                0.38205,                0.23968,                 1.3627,                 2.6848,                  1.702,              0.0010978,              0.0010978,              0.0010978
                      9,                 1.1552,                 1.7551,                 1.4112,                0.51743,                0.33913,                0.29566,                0.20801,                 1.1575,                  2.338,                 1.5102,              0.0010956,              0.0010956,              0.0010956
                     10,                 1.1206,                 1.7039,                 1.3798,                0.47369,                 0.4563,                0.32294,                0.21851,                  1.116,                 2.3835,                 1.4888,              0.0010934,              0.0010934,              0.0010934
                     11,                 1.1219,                 1.6665,                 1.3472,                0.58971,                0.28699,                0.30942,                0.20785,                 1.0734,                 2.7217,                 1.4208,              0.0010912,              0.0010912,              0.0010912
                     12,                 1.1108,                 1.6152,                 1.3738,                0.46172,                0.30804,                0.29154,                0.18858,                 1.0935,                 2.7103,                 1.4894,               0.001089,               0.001089,               0.001089
                     13,                 1.1299,                 1.6348,                 1.3849,                0.57142,                0.40162,                0.36644,                0.24475,                 1.0954,                 2.1423,                 1.4169,              0.0010868,              0.0010868,              0.0010868
                     14,                 1.0318,                 1.4924,                 1.3109,                0.54177,                 0.4236,                0.38097,                0.25702,                 1.0011,                 2.5877,                 1.3739,              0.0010846,              0.0010846,              0.0010846
                     15,                 1.0301,                 1.5124,                 1.3099,                0.52936,                0.43713,                 0.3937,                0.28093,                0.95372,                 1.7464,                 1.3496,              0.0010824,              0.0010824,              0.0010824
                     16,                 1.0142,                 1.4775,                 1.3157,                0.57766,                0.46653,                0.49446,                0.36099,                 0.9833,                 1.9858,                 1.3665,              0.0010802,              0.0010802,              0.0010802
                     17,                 1.0112,                 1.4201,                 1.3166,                 0.6084,                0.45486,                0.43259,                0.30574,                 1.0046,                 1.7736,                 1.3336,               0.001078,               0.001078,               0.001078
