                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2181,                 3.2644,                 1.5392,                0.00044,                0.02756,                0.00019,                  6e-05,                    nan,                    nan,                    nan,             0.00036384,             0.00036384,             0.00036384
                      2,                 1.5805,                 2.8116,                 1.7951,                0.00143,                0.44337,                0.00135,                0.00047,                 2.5234,                    inf,                  18.54,             0.00073272,             0.00073272,             0.00073272
                      3,                 1.7633,                 2.8838,                 1.9156,                0.00058,                 0.2602,                0.00046,                0.00017,                 2.4182,                    inf,                 7.7225,              0.0011001,              0.0011001,              0.0011001
                      4,                 1.6848,                 2.7439,                 1.8748,                0.20814,                0.04633,                0.00136,                0.00033,                 3.7712,                 37.476,                 7.5445,              0.0011044,              0.0011044,              0.0011044
                      5,                  1.586,                 2.6087,                 1.7782,                0.54643,                0.08051,                0.08277,                0.03992,                 1.7785,                 7.9536,                  2.213,              0.0011044,              0.0011044,              0.0011044
                      6,                  1.571,                 2.5081,                 1.7515,                0.22264,                0.03308,                0.01984,                0.01065,                 3.0487,                 5.3069,                  3.244,              0.0011022,              0.0011022,              0.0011022
                      7,                  1.501,                 2.4297,                 1.6761,                0.27825,                0.21232,                0.08491,                0.04405,                 1.5713,                 6.5018,                 1.8934,                 0.0011,                 0.0011,                 0.0011
                      8,                 1.4829,                 2.3723,                 1.6755,                0.42008,                 0.1481,                 0.1693,                 0.0997,                 1.7465,                 3.9954,                 2.1915,              0.0010978,              0.0010978,              0.0010978
                      9,                 1.3427,                 2.2112,                 1.5784,                0.38166,                0.16557,                 0.0875,                0.04967,                 1.3453,                 3.9667,                 1.7291,              0.0010956,              0.0010956,              0.0010956
                     10,                 1.3639,                 2.1411,                 1.5799,                0.43176,                0.29055,                0.19555,                0.12115,                 1.2545,                 3.0184,                 1.6526,              0.0010934,              0.0010934,              0.0010934
                     11,                 1.3366,                  2.085,                 1.5465,                 0.4745,                0.23751,                0.19683,                0.12831,                 1.1997,                 3.0345,                 1.5582,              0.0010912,              0.0010912,              0.0010912
