                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
1,0.91885,2.1339,1.3666,0.44898,0.57161,0.52393,0.39293,0.87921,1.3888,1.325,0.003318,0.003318,0.003318,0.5029276355833391
2,0.89087,1.39,1.3084,0.55292,0.52738,0.5495,0.36577,1.0575,1.3983,1.5634,0.0066382,0.0066382,0.0066382,0.5398480970100897
3,1.0189,1.4971,1.4143,0.32293,0.31656,0.24932,0.14619,1.6426,2.6995,2.1681,0.0099452,0.0099452,0.0099452,0.3197132740152309
4,1.1436,1.6319,1.514,0.33629,0.41084,0.32209,0.20305,1.3597,2.167,1.8489,0.0099406,0.0099406,0.0099406,0.3698456322192925
5,1.1298,1.5852,1.5065,0.57527,0.43772,0.46407,0.30897,1.1417,1.9121,1.6505,0.0099406,0.0099406,0.0099406,0.49715630835447544
6,1.0929,1.5535,1.4668,0.61294,0.50214,0.5018,0.33625,1.0973,1.5043,1.5903,0.0099208,0.0099208,0.0099208,0.5520351752340639
7,1.0557,1.48,1.4414,0.48539,0.55672,0.53799,0.37381,1.0206,1.374,1.5023,0.009901,0.009901,0.009901,0.5186138138968054
8,1.048,1.4343,1.4394,0.66065,0.50846,0.57081,0.38679,1.0953,1.3012,1.5485,0.0098812,0.0098812,0.0098812,0.5746492614039741
9,1.0266,1.3834,1.4311,0.55786,0.56202,0.56526,0.40612,1.0247,1.3221,1.4959,0.0098614,0.0098614,0.0098614,0.5599322734578704
10,1.0129,1.3486,1.4017,0.58041,0.57048,0.57871,0.41011,0.99698,1.2519,1.4472,0.0098416,0.0098416,0.0098416,0.5754021614576545
11,1.0005,1.3307,1.4031,0.70396,0.52134,0.56584,0.40689,0.99653,1.2616,1.4496,0.0098218,0.0098218,0.0098218,0.5990410616175631
12,0.97113,1.2849,1.3758,0.55174,0.57061,0.58581,0.42624,0.99419,1.2334,1.4558,0.009802,0.009802,0.009802,0.5610163699380764
13,0.97568,1.2707,1.381,0.67266,0.60501,0.63961,0.45805,0.96247,1.1099,1.4361,0.0097822,0.0097822,0.0097822,0.6370440357838879
14,0.96491,1.2397,1.3689,0.6685,0.63173,0.64786,0.45237,0.97093,1.1505,1.4435,0.0097624,0.0097624,0.0097624,0.6495950793321181
15,0.95495,1.2198,1.3614,0.70835,0.5816,0.65382,0.47995,0.90077,1.0811,1.3674,0.0097426,0.0097426,0.0097426,0.638747796426218
16,0.92069,1.1755,1.3384,0.65186,0.59971,0.65404,0.47576,0.90304,1.099,1.3724,0.0097228,0.0097228,0.0097228,0.6246985156243757
17,0.90591,1.1359,1.3259,0.68005,0.68165,0.70497,0.52273,0.87397,0.98112,1.3526,0.009703,0.009703,0.009703,0.6808490599985313
18,0.91141,1.1385,1.3259,0.6914,0.62338,0.68618,0.51427,0.88493,0.9827,1.3384,0.0096832,0.0096832,0.0096832,0.655630496356805
19,0.88975,1.1175,1.3224,0.7178,0.6488,0.68728,0.50769,0.87863,0.97597,1.3625,0.0096634,0.0096634,0.0096634,0.681558085760281
20,0.88558,1.0959,1.317,0.63381,0.64101,0.6745,0.50542,0.87829,1.0252,1.3497,0.0096436,0.0096436,0.0096436,0.6373896677177954
21,0.89396,1.1181,1.3059,0.7244,0.65857,0.71333,0.53214,0.87396,0.93126,1.3351,0.0096238,0.0096238,0.0096238,0.6899182310534575
22,0.87887,1.0923,1.3091,0.62315,0.70145,0.7009,0.52603,0.85682,0.93567,1.3234,0.009604,0.009604,0.009604,0.6599857579646685
23,0.87561,1.0525,1.3031,0.70682,0.55942,0.61241,0.44881,0.9746,1.2321,1.4665,0.0095842,0.0095842,0.0095842,0.6245407575183219
24,0.86522,1.0396,1.2919,0.66007,0.69488,0.70132,0.50998,0.89873,0.94709,1.3727,0.0095644,0.0095644,0.0095644,0.6770278484076904
25,0.8633,1.0411,1.2908,0.70158,0.66358,0.70225,0.53242,0.84677,0.92951,1.3281,0.0095446,0.0095446,0.0095446,0.6820511242638225
26,0.84295,0.99269,1.2777,0.69392,0.67549,0.71236,0.5454,0.84493,0.94342,1.3285,0.0095248,0.0095248,0.0095248,0.6845809812985154
27,0.84405,1.003,1.282,0.69523,0.65451,0.6881,0.5114,0.88735,0.95817,1.3507,0.009505,0.009505,0.009505,0.6742557637767274
28,0.83349,0.98766,1.2718,0.7112,0.66776,0.70814,0.53237,0.89112,0.92818,1.3461,0.0094852,0.0094852,0.0094852,0.6887957765272379
29,0.8252,0.98386,1.2609,0.77315,0.64422,0.72659,0.55843,0.83814,0.88331,1.3005,0.0094654,0.0094654,0.0094654,0.7028209895792913
30,0.82613,0.97644,1.263,0.73026,0.64228,0.70435,0.542,0.84361,0.92001,1.3182,0.0094456,0.0094456,0.0094456,0.6834502350386875
31,0.81958,0.95246,1.257,0.68833,0.68685,0.7156,0.53878,0.83803,0.90924,1.3029,0.0094258,0.0094258,0.0094258,0.6875892035951657
32,0.81724,0.93925,1.257,0.69395,0.69576,0.71955,0.54901,0.81812,0.86109,1.3018,0.009406,0.009406,0.009406,0.6948538213008469
33,0.79993,0.9325,1.2363,0.731,0.65533,0.72427,0.54886,0.82395,0.88505,1.2824,0.0093862,0.0093862,0.0093862,0.6910998535702176
34,0.80844,0.9345,1.2521,0.70871,0.66722,0.72292,0.55736,0.80662,0.85382,1.2958,0.0093664,0.0093664,0.0093664,0.6873394521523625
35,0.80468,0.91997,1.2542,0.7298,0.67804,0.74686,0.57008,0.82744,0.85939,1.3082,0.0093466,0.0093466,0.0093466,0.7029685077849755
36,0.79989,0.92218,1.2573,0.70019,0.71418,0.73673,0.5633,0.82187,0.85927,1.3165,0.0093268,0.0093268,0.0093268,0.7071158101486882
37,0.80195,0.90032,1.2576,0.75853,0.66033,0.74383,0.57076,0.7995,0.8562,1.2845,0.009307,0.009307,0.009307,0.7060317647970905
38,0.78944,0.90254,1.2412,0.69919,0.674,0.72369,0.55026,0.81176,0.8787,1.2993,0.0092872,0.0092872,0.0092872,0.686363955461371
39,0.78527,0.87732,1.2425,0.70388,0.70053,0.72104,0.5643,0.7907,0.82992,1.2754,0.0092674,0.0092674,0.0092674,0.7022010045499533
40,0.77804,0.86416,1.2348,0.6939,0.69858,0.73052,0.56256,0.82876,0.87049,1.3063,0.0092476,0.0092476,0.0092476,0.6962321354705273
41,0.77129,0.86204,1.2313,0.75057,0.65709,0.72427,0.55647,0.82441,0.85237,1.3144,0.0092278,0.0092278,0.0092278,0.7007260862708324
