                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99048,                 3.0187,                 1.3326,                0.43351,                 0.4354,                0.27715,                0.18315,                 1.0665,                 2.7029,                 1.4477,               0.003318,               0.003318,               0.003318
                      2,                 1.0064,                 2.2793,                 1.3055,                0.42905,                0.39189,                0.40955,                0.26826,                   1.12,                 2.2331,                 1.5231,              0.0066382,              0.0066382,              0.0066382
                      3,                 1.0932,                 2.1117,                 1.3736,                0.51909,                0.28319,                0.21108,                0.11842,                 1.4391,                 3.0394,                  1.952,              0.0099452,              0.0099452,              0.0099452
                      4,                 1.1652,                 2.0239,                 1.4237,                0.54843,                0.43054,                0.35626,                0.22415,                 1.2541,                 2.1215,                 1.6516,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1502,                 1.8151,                 1.4154,                0.62827,                0.42538,                0.44417,                0.28506,                 1.2278,                 1.7627,                 1.6384,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1232,                 1.7269,                 1.3918,                0.45251,                0.46555,                0.42368,                0.26524,                 1.2384,                 1.7996,                 1.6262,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0998,                 1.6239,                 1.3715,                0.68014,                0.46895,                0.51862,                0.34811,                 1.1406,                 1.4594,                 1.5549,               0.009901,               0.009901,               0.009901
                      8,                  1.084,                 1.5452,                 1.3677,                0.44432,                0.50106,                0.47967,                0.32073,                 1.1506,                  1.599,                 1.5269,              0.0098812,              0.0098812,              0.0098812
                      9,                  1.066,                 1.5015,                 1.3594,                0.54752,                0.55902,                0.56169,                0.37675,                 1.1123,                 1.4321,                 1.4994,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.0336,                 1.4578,                 1.3367,                 0.6656,                0.51184,                0.52919,                0.36118,                 1.1555,                 1.4515,                  1.524,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.0381,                  1.434,                 1.3345,                 0.6785,                0.54564,                0.56865,                0.39816,                 1.0407,                 1.3125,                 1.4407,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.0161,                 1.3817,                 1.3132,                0.54854,                0.55472,                0.54675,                0.37944,                 1.0472,                 1.3706,                  1.437,               0.009802,               0.009802,               0.009802
                     13,                 1.0152,                 1.3618,                  1.321,                0.73605,                0.51616,                0.57703,                 0.4037,                 1.0511,                 1.2917,                 1.4367,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.0113,                 1.3181,                 1.3162,                0.66648,                0.51064,                0.58325,                0.41219,                 1.0212,                 1.2587,                 1.4137,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.0023,                 1.3345,                 1.3103,                0.64136,                0.61363,                0.64229,                0.45548,                 1.0218,                 1.1286,                 1.3989,              0.0097426,              0.0097426,              0.0097426
                     16,                0.97506,                 1.2764,                 1.2947,                0.62241,                0.61264,                0.62038,                0.44754,                0.99669,                 1.1651,                  1.372,              0.0097228,              0.0097228,              0.0097228
                     17,                0.95825,                 1.2605,                 1.2809,                0.64954,                0.58626,                0.63805,                0.46045,                0.96258,                  1.135,                 1.3784,               0.009703,               0.009703,               0.009703
                     18,                0.96891,                 1.2511,                 1.2812,                0.71933,                0.60632,                0.67756,                0.47212,                 1.0011,                 1.0984,                 1.3867,              0.0096832,              0.0096832,              0.0096832
                     19,                0.95242,                 1.2182,                 1.2771,                0.67187,                0.57758,                0.62339,                0.43717,                 0.9813,                 1.2512,                 1.3628,              0.0096634,              0.0096634,              0.0096634
                     20,                0.94075,                  1.203,                 1.2667,                0.63045,                0.58356,                0.62833,                0.43912,                 1.0142,                  1.182,                 1.4062,              0.0096436,              0.0096436,              0.0096436
                     21,                0.94272,                 1.2191,                 1.2596,                0.65303,                0.64594,                 0.6816,                 0.4964,                0.91695,                 1.0586,                 1.3107,              0.0096238,              0.0096238,              0.0096238
                     22,                0.93641,                 1.1994,                 1.2727,                0.60373,                0.61821,                0.64392,                0.46705,                0.96492,                  1.094,                  1.356,               0.009604,               0.009604,               0.009604
                     23,                0.94154,                 1.1735,                 1.2662,                0.60649,                 0.6093,                0.62827,                 0.4494,                0.99766,                 1.1361,                 1.3643,              0.0095842,              0.0095842,              0.0095842
                     24,                0.92525,                 1.1532,                 1.2532,                0.72561,                 0.6226,                0.69122,                 0.4996,                0.93628,                 1.0234,                 1.3494,              0.0095644,              0.0095644,              0.0095644
                     25,                0.91702,                 1.1589,                 1.2494,                0.70101,                0.62431,                0.67395,                0.48566,                0.95326,                 1.0666,                 1.3458,              0.0095446,              0.0095446,              0.0095446
                     26,                 0.9042,                 1.1148,                 1.2398,                0.71671,                0.59252,                0.67161,                0.49113,                0.92618,                 1.0809,                 1.3119,              0.0095248,              0.0095248,              0.0095248
                     27,                0.90767,                  1.126,                 1.2485,                0.62641,                0.62787,                0.65225,                0.46586,                0.99419,                 1.1078,                   1.38,               0.009505,               0.009505,               0.009505
                     28,                0.89804,                 1.1053,                 1.2308,                0.64883,                0.61247,                 0.6449,                0.46833,                0.95837,                  1.135,                  1.356,              0.0094852,              0.0094852,              0.0094852
                     29,                0.90075,                 1.1022,                 1.2318,                0.63846,                0.64549,                0.67968,                0.49509,                0.94787,                 1.0292,                 1.3295,              0.0094654,              0.0094654,              0.0094654
                     30,                 0.8944,                 1.0999,                 1.2283,                0.67716,                0.61652,                0.69099,                0.51389,                0.91756,                 1.0361,                 1.3052,              0.0094456,              0.0094456,              0.0094456
                     31,                0.88472,                 1.0799,                 1.2282,                0.64472,                0.65973,                0.68288,                0.50068,                0.90943,                 1.0194,                 1.3051,              0.0094258,              0.0094258,              0.0094258
                     32,                0.87755,                  1.074,                 1.2238,                0.65203,                0.67368,                0.68762,                0.51181,                0.91115,                0.99796,                 1.3042,               0.009406,               0.009406,               0.009406
                     33,                0.86622,                 1.0756,                 1.2155,                0.62131,                0.66931,                0.67279,                 0.4982,                0.89064,                 1.0038,                 1.2802,              0.0093862,              0.0093862,              0.0093862
                     34,                0.88152,                 1.0659,                 1.2239,                0.66885,                0.63068,                0.67102,                0.48824,                0.95818,                  1.056,                 1.3415,              0.0093664,              0.0093664,              0.0093664
                     35,                0.86927,                 1.0552,                 1.2167,                0.70835,                0.64651,                0.69894,                0.52436,                0.89389,                0.96496,                 1.2885,              0.0093466,              0.0093466,              0.0093466
                     36,                 0.8779,                 1.0533,                 1.2256,                0.67518,                0.61631,                0.67818,                0.50939,                0.91228,                 1.0086,                 1.3097,              0.0093268,              0.0093268,              0.0093268
                     37,                0.86904,                 1.0458,                 1.2165,                0.68641,                0.65327,                 0.6924,                0.50532,                0.92905,                 1.0029,                 1.3041,               0.009307,               0.009307,               0.009307
                     38,                0.86303,                  1.032,                 1.2107,                0.68366,                0.65216,                0.69308,                0.50965,                0.90695,                 1.0164,                 1.2964,              0.0092872,              0.0092872,              0.0092872
                     39,                 0.8606,                 1.0214,                 1.2108,                0.70148,                0.66074,                0.69685,                0.52029,                0.90337,                0.98018,                 1.2851,              0.0092674,              0.0092674,              0.0092674
                     40,                0.85248,                 1.0204,                 1.2046,                0.65251,                0.62204,                0.65133,                0.47487,                0.94442,                 1.0871,                 1.3225,              0.0092476,              0.0092476,              0.0092476
                     41,                 0.8497,                 1.0127,                 1.2028,                 0.7227,                0.64967,                0.69679,                0.51846,                0.87031,                0.97046,                 1.2576,              0.0092278,              0.0092278,              0.0092278
                     42,                0.84799,                0.99379,                 1.2007,                0.64361,                0.69463,                0.70984,                0.53332,                0.86575,                0.97436,                 1.2656,               0.009208,               0.009208,               0.009208
                     43,                0.83493,                0.97943,                 1.1876,                0.67641,                0.67229,                0.69747,                0.51618,                0.89025,                0.96753,                 1.2828,              0.0091882,              0.0091882,              0.0091882
