                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
1,1.0187,2.4599,1.362,0.39155,0.57242,0.46946,0.33951,0.91778,1.5256,1.3236,0.003318,0.003318,0.003318,0.4650166519704971
2,0.92337,1.4308,1.2627,0.53237,0.56585,0.54425,0.3854,0.99115,1.3183,1.4034,0.0066382,0.0066382,0.0066382,0.5485996694651345
3,1.0089,1.4406,1.3292,0.44513,0.379,0.32935,0.18012,1.638,2.1424,2.1424,0.0099452,0.0099452,0.0099452,0.40941179182895904
4,1.1033,1.5433,1.3975,0.52949,0.43015,0.43649,0.27759,1.2638,1.6374,1.6889,0.0099406,0.0099406,0.0099406,0.47467826163978155
5,1.1099,1.5006,1.3988,0.52809,0.43355,0.43071,0.26492,1.246,1.8829,1.6593,0.0099406,0.0099406,0.0099406,0.4761728287092883
6,1.0888,1.4841,1.3877,0.59493,0.52753,0.53452,0.35535,1.1495,1.4566,1.5582,0.0099208,0.0099208,0.0099208,0.5592064267769007
7,1.0585,1.4189,1.3645,0.69819,0.47386,0.53504,0.34717,1.1657,1.4742,1.5449,0.009901,0.009901,0.009901,0.5645566544089415
8,1.0534,1.3609,1.3565,0.6669,0.52875,0.59874,0.41706,1.0545,1.2918,1.4419,0.0098812,0.0098812,0.0098812,0.5898438088069252
9,1.0285,1.3307,1.3395,0.62182,0.41534,0.48614,0.3222,1.2159,1.5235,1.6117,0.0098614,0.0098614,0.0098614,0.4980267630838058
10,1.0137,1.3021,1.3275,0.63915,0.47488,0.5231,0.36337,1.1068,1.4222,1.5003,0.0098416,0.0098416,0.0098416,0.5449037314973565
11,0.99039,1.2896,1.3147,0.60386,0.60064,0.60855,0.43774,1.0114,1.2104,1.4303,0.0098218,0.0098218,0.0098218,0.6022456959734329
12,0.97707,1.2495,1.3018,0.64398,0.57116,0.61582,0.44136,0.99647,1.1237,1.4053,0.009802,0.009802,0.009802,0.6053880487845023
13,0.96774,1.2332,1.2991,0.63699,0.57013,0.58817,0.41543,1.0136,1.1822,1.4286,0.0097822,0.0097822,0.0097822,0.601708378123136
14,0.96758,1.202,1.2953,0.69889,0.61509,0.66584,0.48032,0.98591,1.0607,1.3989,0.0097624,0.0097624,0.0097624,0.6543177979877929
15,0.96247,1.2043,1.2913,0.68735,0.60455,0.67535,0.48817,0.97738,1.0671,1.3747,0.0097426,0.0097426,0.0097426,0.6432966057744407
16,0.931,1.1579,1.2727,0.58726,0.50253,0.53816,0.37342,1.12,1.3546,1.5405,0.0097228,0.0097228,0.0097228,0.5416011668303068
17,0.9211,1.1214,1.2656,0.68248,0.58465,0.64156,0.46646,0.97672,1.0922,1.3775,0.009703,0.009703,0.009703,0.6297884700070239
18,0.92761,1.1411,1.2657,0.72508,0.58287,0.68412,0.49585,0.94388,1.0188,1.3548,0.0096832,0.0096832,0.0096832,0.6462439383768492
19,0.90983,1.101,1.2529,0.67099,0.65412,0.6817,0.49929,0.90834,1.0187,1.3,0.0096634,0.0096634,0.0096634,0.6624476138584721
20,0.90568,1.0955,1.2504,0.7117,0.60032,0.67299,0.49809,0.91172,1.0429,1.3133,0.0096436,0.0096436,0.0096436,0.6512823645981006
21,0.90598,1.0999,1.2464,0.70804,0.6249,0.68335,0.49835,0.92857,1.0505,1.3178,0.0096238,0.0096238,0.0096238,0.663877137755638
