                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93796,                 2.2302,                 1.3692,                0.54184,                0.59213,                0.57589,                0.43262,                 0.8349,                 1.2512,                 1.2731,               0.003318,               0.003318,               0.003318
                      2,                0.86703,                 1.3363,                 1.2847,                0.56341,                0.51371,                 0.5232,                0.37691,                  0.998,                 1.4374,                 1.4599,              0.0066382,              0.0066382,              0.0066382
                      3,                0.99364,                 1.4265,                  1.385,                0.38834,                0.42392,                0.34444,                0.23484,                 1.1562,                  2.448,                 1.6741,              0.0099452,              0.0099452,              0.0099452
                      4,                 1.1087,                 1.5906,                   1.48,                0.42414,                0.45198,                0.42534,                0.28506,                 1.1607,                 1.7675,                 1.6647,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1082,                 1.5531,                 1.4947,                0.55415,                0.42104,                0.43552,                0.28832,                 1.1723,                 1.7814,                 1.6812,              0.0099406,              0.0099406,              0.0099406
                      6,                  1.086,                 1.5115,                 1.4714,                0.46439,                0.49858,                0.47741,                0.32278,                 1.1302,                 1.5653,                 1.6263,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0621,                 1.4397,                  1.447,                0.51657,                0.47928,                0.48078,                0.32543,                 1.1225,                 1.5109,                 1.6038,               0.009901,               0.009901,               0.009901
                      8,                 1.0416,                 1.4062,                 1.4405,                0.54823,                0.57673,                0.57386,                0.39897,                 1.0697,                  1.302,                 1.5348,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0185,                  1.361,                 1.4268,                0.56643,                0.57852,                0.59094,                0.40335,                 1.0605,                 1.2963,                 1.5162,              0.0098614,              0.0098614,              0.0098614
                     10,                  1.002,                 1.3212,                 1.4076,                0.66723,                0.54762,                0.59898,                 0.4266,                 0.9977,                  1.218,                 1.4777,              0.0098416,              0.0098416,              0.0098416
                     11,                0.98076,                 1.2932,                 1.3898,                0.57918,                 0.6144,                0.62721,                0.45668,                0.97096,                 1.1442,                 1.4427,              0.0098218,              0.0098218,              0.0098218
                     12,                0.96166,                 1.2558,                 1.3748,                0.53268,                0.51542,                0.52927,                0.36615,                 1.1221,                 1.3945,                 1.5943,               0.009802,               0.009802,               0.009802
                     13,                0.94653,                 1.2423,                 1.3692,                0.68221,                0.59458,                0.61212,                0.43761,                0.92553,                 1.2032,                 1.4212,              0.0097822,              0.0097822,              0.0097822
                     14,                0.96105,                 1.2086,                 1.3657,                0.64766,                0.61568,                0.62384,                0.44095,                0.96692,                 1.1401,                 1.4398,              0.0097624,              0.0097624,              0.0097624
                     15,                0.94142,                 1.1971,                  1.365,                0.60841,                0.62235,                 0.6435,                0.47074,                0.92995,                 1.1053,                 1.4093,              0.0097426,              0.0097426,              0.0097426
                     16,                0.92209,                 1.1539,                  1.343,                0.67309,                0.61354,                0.66651,                0.48652,                0.91194,                 1.0586,                 1.3881,              0.0097228,              0.0097228,              0.0097228
                     17,                0.89785,                 1.1158,                 1.3336,                0.69247,                0.63249,                0.68047,                0.51305,                0.87663,                 1.0003,                 1.3559,               0.009703,               0.009703,               0.009703
                     18,                0.90259,                 1.1283,                 1.3262,                0.68931,                0.65565,                0.68726,                0.51019,                 0.8915,                0.99154,                 1.3715,              0.0096832,              0.0096832,              0.0096832
                     19,                0.88325,                  1.092,                 1.3269,                0.76535,                0.61104,                0.69681,                0.52769,                0.85449,                0.96764,                 1.3438,              0.0096634,              0.0096634,              0.0096634
                     20,                0.88045,                 1.0764,                 1.3206,                0.68807,                0.65325,                0.69415,                0.51701,                0.87368,                0.96323,                 1.3392,              0.0096436,              0.0096436,              0.0096436
                     21,                0.88406,                 1.0855,                 1.3111,                0.70373,                0.63508,                0.67409,                0.50407,                0.87746,                0.97964,                 1.3398,              0.0096238,              0.0096238,              0.0096238
                     22,                0.86919,                 1.0614,                 1.3145,                0.72023,                0.63383,                0.69734,                0.51889,                0.85856,                0.95766,                 1.3351,               0.009604,               0.009604,               0.009604
